li_id,county,town,village,DPP_2010,KMT_2010,Other_2010,vaild_vote_2010,invaild_vote_2010,turnout_2010,num_voter_2010,DDP_rate_2010,KMT_rate_2010
6401200-007,高雄市,鳳山區,鳳崗里,304,158,395,857,5,862,1162,0.354725788,0.645274212
6401200-010,高雄市,鳳山區,縣衙里,232,156,227,615,8,623,878,0.377235772,0.622764228
6401200-041,高雄市,鳳山區,曹公里,638,241,520,1399,14,1413,2026,0.456040029,0.543959971
6401200-012,高雄市,鳳山區,鎮西里,1766,645,1285,3696,27,3723,4907,0.477813853,0.522186147
6401200-053,高雄市,鳳山區,北門里,1310,475,1049,2834,27,2861,4025,0.462244178,0.537755822
6401200-009,高雄市,鳳山區,鎮北里,1664,488,1070,3222,31,3253,4658,0.51644941,0.48355059
6401200-058,高雄市,鳳山區,武松里,986,323,636,1945,26,1971,2582,0.506940874,0.493059126
6401200-024,高雄市,鳳山區,忠誠里,1112,353,646,2111,18,2129,2789,0.526764567,0.473235433
6401200-011,高雄市,鳳山區,文英里,1078,360,847,2285,19,2304,3050,0.471772429,0.528227571
6401200-056,高雄市,鳳山區,文華里,1838,1321,1928,5087,44,5131,7356,0.361313151,0.638686849
6401200-048,高雄市,鳳山區,文山里,2032,516,1285,3833,41,3874,5431,0.530133055,0.469866945
6401200-039,高雄市,鳳山區,文德里,1949,860,1948,4757,30,4787,7151,0.409712003,0.590287997
6401200-059,高雄市,鳳山區,文衡里,1036,371,933,2340,15,2355,3337,0.442735043,0.557264957
6401200-060,高雄市,鳳山區,文福里,1857,804,2020,4681,34,4715,7058,0.396710105,0.603289895
6401200-002,高雄市,鳳山區,成功里,279,97,154,530,6,536,729,0.526415094,0.473584906
6401200-001,高雄市,鳳山區,縣口里,135,82,109,326,1,327,453,0.414110429,0.585889571
6401200-003,高雄市,鳳山區,光明里,450,175,315,940,4,944,1327,0.478723404,0.521276596
6401200-006,高雄市,鳳山區,和德里,491,200,413,1104,7,1111,1500,0.444746377,0.555253623
6401200-046,高雄市,鳳山區,和興里,1578,621,1243,3442,28,3470,4909,0.458454387,0.541545613
6401200-005,高雄市,鳳山區,南興里,322,104,232,658,3,661,938,0.489361702,0.510638298
6401200-051,高雄市,鳳山區,三民里,317,166,258,741,7,748,1005,0.42780027,0.57219973
6401200-021,高雄市,鳳山區,新興里,580,192,373,1145,13,1158,1922,0.506550218,0.493449782
6401200-042,高雄市,鳳山區,興仁里,1119,479,1019,2617,31,2648,3726,0.427588842,0.572411158
6401200-004,高雄市,鳳山區,興中里,229,90,204,523,5,528,732,0.437858509,0.562141491
6401200-047,高雄市,鳳山區,協和里,1013,639,978,2630,26,2656,3781,0.385171103,0.614828897
6401200-019,高雄市,鳳山區,忠義里,1241,537,1098,2876,18,2894,4172,0.431502086,0.568497914
6401200-044,高雄市,鳳山區,忠孝里,1599,762,1520,3881,35,3916,5389,0.412007215,0.587992785
6401200-008,高雄市,鳳山區,中和里,879,599,871,2349,18,2367,3226,0.374201788,0.625798212
6401200-052,高雄市,鳳山區,誠正里,22,263,208,493,6,499,755,0.044624746,0.955375254
6401200-020,高雄市,鳳山區,誠義里,814,436,844,2094,10,2104,2834,0.388729704,0.611270296
6401200-045,高雄市,鳳山區,生明里,470,386,537,1393,10,1403,1834,0.337401292,0.662598708
6401200-013,高雄市,鳳山區,鎮東里,657,291,526,1474,16,1490,2128,0.445725916,0.554274084
6401200-018,高雄市,鳳山區,瑞竹里,1449,774,1381,3604,25,3629,4858,0.402053274,0.597946726
6401200-031,高雄市,鳳山區,瑞興里,1054,630,1216,2900,25,2925,4070,0.363448276,0.636551724
6401200-030,高雄市,鳳山區,東門里,1188,987,1281,3456,30,3486,5050,0.34375,0.65625
6401200-050,高雄市,鳳山區,誠德里,486,459,569,1514,19,1533,2020,0.321003963,0.678996037
6401200-061,高雄市,鳳山區,誠信里,289,392,515,1196,16,1212,1775,0.241638796,0.758361204
6401200-062,高雄市,鳳山區,誠智里,589,395,695,1679,20,1699,2396,0.35080405,0.64919595
6401200-035,高雄市,鳳山區,鳳東里,1559,676,1107,3342,23,3365,4577,0.466487133,0.533512867
6401200-014,高雄市,鳳山區,埤頂里,1560,963,1260,3783,32,3815,5174,0.412371134,0.587628866
6401200-015,高雄市,鳳山區,中正里,227,268,380,875,7,882,1241,0.259428571,0.740571429
6401200-022,高雄市,鳳山區,海光里,603,975,945,2523,19,2542,3766,0.239001189,0.760998811
6401200-023,高雄市,鳳山區,海風里,58,841,434,1333,12,1345,1883,0.043510878,0.956489122
6401200-034,高雄市,鳳山區,國泰里,1210,565,971,2746,22,2768,3840,0.440640932,0.559359068
6401200-037,高雄市,鳳山區,國光里,1042,494,783,2319,22,2341,3374,0.449331608,0.550668392
6401200-038,高雄市,鳳山區,國隆里,978,243,562,1783,18,1801,2610,0.548513741,0.451486259
6401200-063,高雄市,鳳山區,國富里,752,331,640,1723,17,1740,2335,0.436448056,0.563551944
6401200-064,高雄市,鳳山區,武慶里,832,235,494,1561,14,1575,2192,0.532991672,0.467008328
6401200-026,高雄市,鳳山區,武漢里,1536,463,968,2967,28,2995,4126,0.517694641,0.482305359
6401200-025,高雄市,鳳山區,新甲里,974,282,614,1870,13,1883,2610,0.520855615,0.479144385
6401200-066,高雄市,鳳山區,新武里,847,215,413,1475,15,1490,2082,0.574237288,0.425762712
6401200-068,高雄市,鳳山區,新泰里,1147,400,933,2480,17,2497,3498,0.4625,0.5375
6401200-067,高雄市,鳳山區,新樂里,1288,405,971,2664,19,2683,3746,0.483483483,0.516516517
6401200-033,高雄市,鳳山區,新強里,1637,497,1110,3244,25,3269,4501,0.504623921,0.495376079
6401200-065,高雄市,鳳山區,海洋里,1182,396,859,2437,18,2455,3387,0.485022569,0.514977431
6401200-036,高雄市,鳳山區,新富里,1391,377,1040,2808,16,2824,3892,0.49537037,0.50462963
6401200-017,高雄市,鳳山區,老爺里,2463,549,1430,4442,48,4490,6349,0.554479964,0.445520036
6401200-071,高雄市,鳳山區,中民里,1422,366,859,2647,16,2663,3803,0.537211938,0.462788062
6401200-069,高雄市,鳳山區,中崙里,748,252,582,1582,16,1598,2163,0.472819216,0.527180784
6401200-070,高雄市,鳳山區,中榮里,1436,499,1055,2990,41,3031,4042,0.480267559,0.519732441
6401200-040,高雄市,鳳山區,過埤里,2782,862,1787,5431,50,5481,8385,0.512244522,0.487755478
6401200-027,高雄市,鳳山區,正義里,2360,538,1150,4048,32,4080,5661,0.583003953,0.416996047
6401200-078,高雄市,鳳山區,保安里,1530,421,977,2928,13,2941,3887,0.522540984,0.477459016
6401200-028,高雄市,鳳山區,一甲里,1340,327,532,2199,21,2220,3160,0.609367894,0.390632106
6401200-072,高雄市,鳳山區,二甲里,1578,429,889,2896,28,2924,4027,0.544889503,0.455110497
6401200-073,高雄市,鳳山區,龍成里,1170,311,524,2005,20,2025,2696,0.583541147,0.416458853
6401200-016,高雄市,鳳山區,鎮南里,1743,572,814,3129,33,3162,4326,0.55704698,0.44295302
6401200-054,高雄市,鳳山區,富甲里,699,202,325,1226,11,1237,2221,0.570146819,0.429853181
6401200-075,高雄市,鳳山區,善美里,1755,510,1028,3293,32,3325,4887,0.532948679,0.467051321
6401200-074,高雄市,鳳山區,富榮里,729,259,420,1408,14,1422,2058,0.517755682,0.482244318
6401200-076,高雄市,鳳山區,南和里,999,311,470,1780,22,1802,2504,0.561235955,0.438764045
6401200-055,高雄市,鳳山區,南成里,2441,627,1283,4351,37,4388,5861,0.561020455,0.438979545
6401200-032,高雄市,鳳山區,天興里,1311,413,609,2333,22,2355,3355,0.56193742,0.43806258
6401200-057,高雄市,鳳山區,大德里,1686,426,859,2971,24,2995,3988,0.567485695,0.432514305
6401200-043,高雄市,鳳山區,五福里,1122,348,528,1998,13,2011,2862,0.561561562,0.438438438
6401200-029,高雄市,鳳山區,福興里,2206,630,950,3786,32,3818,5302,0.582673006,0.417326994
6401200-077,高雄市,鳳山區,福祥里,1076,270,569,1915,28,1943,2559,0.561879896,0.438120104
6401200-049,高雄市,鳳山區,福誠里,1228,354,617,2199,19,2218,2959,0.558435653,0.441564347
